policy_year,count,revenue,industry,state,employees,average_employee_age,multinational,risk_score
2016,0,2136953,Manufacturing,GA,161,16,0,NA
2014,0,2470708,General Commercial,CA,195,43,0,2
2024,0,1471109,General Commercial,IL,300,43,0,NA
2019,0,539640,Manufacturing,CA,38,39,0,3
2015,0,539907,Manufacturing,NJ,165,16,0,5
2013,0,1153002,General Commercial,VA,82,62,0,4
2019,0,1547507,General Commercial,VA,415,33,0,NA
2024,0,287604,Manufacturing,VA,23,39,0,NA
2015,0,608679,Oil/Gas,TX,78,20,0,NA
2017,0,1554971,Financial Services,FL,135,17,0,3
2015,0,727283,Manufacturing,TX,79,16,0,3
2017,0,496862,Financial Services,FL,126,46,0,3
2023,0,1602868,Financial Services,FL,132,38,0,4
2018,0,701682,General Commercial,VA,66,16,0,NA
2016,1,728557,General Commercial,FL,177,53,0,4
2018,0,1532940,General Commercial,NY,126,37,0,NA
2021,0,1445398,General Commercial,FL,214,24,0,1
2016,0,2164072,Manufacturing,CA,73,32,0,NA
2023,0,530437,Manufacturing,NY,39,120,0,4
2017,0,797771,Manufacturing,IL,48,18,0,3
2021,0,751191,General Commercial,NY,41,52,0,5
2022,0,1336721,General Commercial,OH,305,38,0,NA
2020,0,745017,Manufacturing,NC,26,17,0,NA
2018,0,242011,Manufacturing,NC,36,18,0,4
2017,1,2310163,General Commercial,IL,137,27,0,5
2021,0,316707,Manufacturing,NJ,34,17,0,NA
2018,0,425724,Manufacturing,GA,23,36,0,2
2015,0,321707,General Commercial,PA,24,22,0,2
2021,0,611582,General Commercial,CA,76,21,0,NA
2015,0,817531,Oil/Gas,OH,66,76,0,3
2023,0,2089503,Financial Services,OH,376,19,0,NA
2015,0,4651827,General Commercial,OH,909,17,1,1
2015,0,357365,General Commercial,OH,60,16,0,4
2022,0,9106423,Manufacturing,MI,391,17,1,2
2020,0,1645447,Manufacturing,FL,111,80,0,3
2023,0,3058334,General Commercial,GA,179,41,1,2
2020,0,399974,Manufacturing,PA,63,52,0,NA
2017,0,1446247,Manufacturing,NC,86,18,0,NA
2020,0,4161671,Manufacturing,NC,459,70,1,5
2023,0,946082,General Commercial,FL,103,23,0,3
2017,0,926907,General Commercial,PA,72,27,0,3
2021,0,2277195,Manufacturing,NJ,242,17,0,4
2016,0,1366100,Financial Services,NC,223,16,0,NA
2024,0,815806,Manufacturing,NC,261,99,0,3
2016,3,9653649,Oil/Gas,WA,1131,17,1,NA
2018,0,1884586,Financial Services,FL,356,25,0,NA
2023,0,862234,Manufacturing,TX,73,46,0,NA
2023,0,2414756,General Commercial,PA,235,16,0,1
2021,0,751112,General Commercial,GA,82,16,0,3
2017,0,1276552,General Commercial,NY,279,39,0,NA
2019,0,3272752,Manufacturing,OH,283,58,1,2
2014,0,442432,Financial Services,MA,27,16,0,NA
2014,0,1031751,Manufacturing,MI,286,21,0,NA
2023,0,1295190,General Commercial,NJ,202,27,0,NA
2021,0,1140578,General Commercial,VA,137,61,0,3
2015,0,696608,General Commercial,TX,121,23,0,4
2017,0,624055,Manufacturing,MA,36,37,0,NA
2023,0,4934858,Manufacturing,CA,1159,20,1,3
2016,0,347773,General Commercial,FL,23,31,0,2
2015,0,454134,Manufacturing,CA,34,47,0,4
2024,1,1048740,General Commercial,GA,207,31,0,4
2014,0,1559945,Financial Services,VA,142,16,0,3
2019,0,1210267,Financial Services,TX,221,34,0,2
2022,0,423285,Financial Services,GA,14,45,0,3
2021,0,1958644,General Commercial,CA,458,28,0,NA
2020,0,489359,General Commercial,NY,150,21,0,NA
2020,0,890477,Manufacturing,VA,96,21,0,3
2018,0,334391,Financial Services,CA,10,35,0,3
2020,0,550161,Manufacturing,CA,26,16,0,NA
2021,0,3831437,Oil/Gas,CA,611,17,1,2
2022,0,1818631,Manufacturing,OH,126,51,0,NA
2016,0,2057496,Manufacturing,TX,388,49,0,3
2016,0,1219949,General Commercial,GA,208,41,0,NA
2018,0,1283882,Manufacturing,FL,118,16,0,NA
2020,0,2449252,General Commercial,TX,637,27,0,4
2015,0,435530,General Commercial,IL,99,55,0,2
2021,0,577656,General Commercial,TX,121,27,0,3
2015,0,591198,Financial Services,IL,54,16,0,2
2015,0,1633240,General Commercial,CA,698,37,0,1
2023,0,1983697,General Commercial,WA,70,32,0,NA
2015,0,1236234,General Commercial,VA,68,16,0,NA
2020,0,1041801,General Commercial,FL,110,21,0,NA
2015,0,4705094,General Commercial,IL,446,22,1,NA
2013,0,591694,Financial Services,VA,44,37,0,3
2021,0,380924,Financial Services,NJ,18,26,0,4
2017,0,786779,General Commercial,TX,71,17,0,2
2018,0,258273,Manufacturing,IL,18,24,0,NA
2014,0,1067475,Financial Services,FL,171,43,0,1
2017,0,271094,Financial Services,MA,74,32,0,1
2022,0,491654,Manufacturing,NY,56,64,0,NA
2021,0,661223,General Commercial,NJ,24,22,0,5
2017,0,337280,Manufacturing,FL,73,39,0,3
2019,0,423155,Financial Services,FL,79,18,0,5
2023,0,429893,Manufacturing,OH,26,48,0,3
2016,0,514244,Oil/Gas,TX,42,41,0,3
2018,0,483428,General Commercial,OH,52,28,0,3
2015,0,739100,General Commercial,CA,70,59,0,2
2015,0,1544516,General Commercial,NY,456,32,0,5
2015,0,1269894,General Commercial,TX,158,19,0,NA
2014,0,855114,General Commercial,NY,122,27,0,4
2020,0,765327,General Commercial,FL,108,44,0,2
2018,0,690028,General Commercial,NY,49,39,0,NA
2019,1,3418833,General Commercial,TX,196,42,1,3
2021,0,1308158,General Commercial,NY,169,40,0,4
2023,0,1337471,General Commercial,NY,308,16,0,1
2023,0,679051,General Commercial,NC,144,16,0,3
2024,0,934709,Financial Services,PA,39,19,0,2
2019,0,1861150,General Commercial,FL,337,20,0,2
2014,0,1055697,General Commercial,IL,76,27,0,2
2018,1,1203563,Oil/Gas,WA,103,29,0,5
2017,0,1154219,Manufacturing,TX,256,26,0,1
2014,0,716719,General Commercial,CA,271,29,0,NA
2022,0,1346387,Manufacturing,VA,64,30,0,3
2017,0,4646670,Manufacturing,CA,318,19,1,2
2019,1,567960,Manufacturing,GA,80,17,0,NA
2018,0,857802,Manufacturing,TX,34,18,0,NA
2022,0,825434,General Commercial,TX,94,28,0,4
2014,0,1439192,General Commercial,TX,113,21,0,1
2021,0,1147430,General Commercial,CA,132,49,0,NA
2013,1,1647532,General Commercial,PA,90,16,0,NA
2021,0,628071,Oil/Gas,NY,159,24,0,1
2019,0,378417,General Commercial,FL,38,30,0,NA
2020,0,196446,Oil/Gas,OH,80,16,0,1
2022,0,465658,General Commercial,OH,39,22,0,NA
2014,0,4544219,General Commercial,NJ,473,43,1,2
2017,0,1495716,General Commercial,NJ,850,23,0,NA
2021,0,474440,Manufacturing,FL,45,25,0,NA
2022,0,1564202,Manufacturing,MA,107,39,0,3
2023,0,1374066,General Commercial,MI,113,26,0,NA
2016,0,574065,Financial Services,NY,148,27,0,NA
2022,0,406207,General Commercial,NC,35,21,0,1
2023,0,1290414,General Commercial,NC,237,29,0,NA
2015,0,722544,Financial Services,NC,49,16,0,2
2018,0,788688,Manufacturing,TX,35,34,0,NA
2022,0,594195,General Commercial,CA,139,16,0,NA
2019,0,591393,General Commercial,PA,57,64,0,NA
2018,0,287654,General Commercial,NJ,18,25,0,3
2018,0,667460,Manufacturing,NY,195,73,0,2
2017,0,1787165,Financial Services,NY,331,33,0,1
2015,0,4058344,Financial Services,CA,718,26,1,4
2023,0,962368,General Commercial,FL,115,44,0,4
2017,1,928760,Manufacturing,FL,275,16,0,NA
2021,0,3221004,General Commercial,FL,253,16,1,NA
2019,1,494134,Manufacturing,NJ,68,75,0,NA
2016,0,994203,Financial Services,FL,47,65,0,4
2019,0,273511,General Commercial,CA,48,16,0,3
2016,0,3235412,General Commercial,CA,843,30,1,NA
2022,0,1344106,General Commercial,NY,90,63,0,4
2022,0,756047,Manufacturing,CA,96,16,0,2
2015,0,3197177,Manufacturing,AZ,454,24,1,NA
2017,0,482008,Financial Services,CA,22,35,0,NA
2022,1,1456262,Financial Services,VA,149,16,0,1
2024,0,5797110,General Commercial,OH,333,21,1,2
2021,0,498600,Oil/Gas,FL,130,21,0,NA
2021,0,313306,Financial Services,TX,63,16,0,3
2024,0,487491,Financial Services,CA,65,38,0,3
2023,0,463965,Manufacturing,GA,180,40,0,2
2020,0,2979437,Financial Services,NC,356,35,1,3
2023,0,222342,General Commercial,NY,7,16,0,4
2014,0,842996,General Commercial,TX,38,52,0,NA
2014,0,1188965,Manufacturing,CA,81,50,0,NA
2019,0,500938,Manufacturing,FL,55,63,0,3
2024,0,1571666,General Commercial,TX,333,47,0,2
2022,0,138643,Manufacturing,TX,47,17,0,3
2019,0,1092055,General Commercial,CA,296,28,0,2
2020,0,1868154,Financial Services,MI,463,22,0,NA
2023,0,2030533,General Commercial,IL,191,51,0,NA
2021,0,2324082,General Commercial,NJ,176,35,0,2
2022,0,727377,Financial Services,TX,130,49,0,NA
2014,0,225663,General Commercial,TX,16,28,0,NA
2022,0,1981849,General Commercial,FL,79,20,0,NA
2022,0,1039341,General Commercial,VA,116,33,0,NA
2015,1,2461526,Manufacturing,GA,228,28,0,4
2018,0,291555,Manufacturing,CA,21,16,0,NA
2020,1,1312290,General Commercial,MI,64,23,0,NA
2022,0,2329999,General Commercial,GA,129,61,0,NA
2016,0,815564,General Commercial,PA,74,31,0,NA
2020,0,7055661,General Commercial,CA,663,17,1,NA
2019,0,1500753,Manufacturing,NC,71,37,0,4
2022,0,1696174,General Commercial,FL,311,24,0,NA
2014,0,1565894,Manufacturing,TX,143,65,0,NA
2021,1,2367932,General Commercial,OH,553,18,0,NA
2021,0,1057469,General Commercial,CA,73,29,0,NA
2017,0,1534547,General Commercial,IL,849,67,0,2
2015,0,1141397,Manufacturing,CA,66,58,0,NA
2021,0,173729,General Commercial,CA,7,79,0,NA
2019,0,541196,General Commercial,WA,47,54,0,2
2015,0,837971,General Commercial,CA,44,16,0,2
2019,0,251109,Manufacturing,IL,13,16,0,3
2013,0,3291630,General Commercial,GA,264,21,1,NA
2019,0,3364066,Financial Services,CA,129,17,1,NA
2023,0,434728,General Commercial,MI,65,33,0,3
2019,0,918785,Financial Services,NY,45,55,0,3
2014,0,1460364,Manufacturing,TX,89,22,0,NA
2022,0,5593739,Financial Services,NJ,509,32,1,NA
2017,0,1171808,General Commercial,PA,84,25,0,NA
2016,0,2469105,General Commercial,NC,121,19,0,5
2016,0,165205,General Commercial,CA,26,20,0,5
2021,0,2003493,General Commercial,MI,465,33,0,NA
2019,0,1723443,General Commercial,NC,178,34,0,4
2020,0,1523623,General Commercial,GA,142,80,0,NA
2017,0,1560403,Financial Services,MA,39,19,0,2
2024,0,1040961,General Commercial,NC,66,24,0,NA
2024,0,821832,General Commercial,CA,114,33,0,NA
2015,0,472503,General Commercial,CA,83,16,0,1
2021,0,757705,General Commercial,TX,72,31,0,4
2020,0,457436,Manufacturing,FL,17,36,0,3
2019,0,754884,Financial Services,FL,256,71,0,NA
2020,0,670775,General Commercial,GA,72,44,0,3
2021,0,639873,Manufacturing,IL,55,16,0,NA
2016,1,3776977,Oil/Gas,NC,463,43,1,4
2018,1,1098626,Oil/Gas,TX,749,42,0,3
2021,0,1440828,Financial Services,CA,94,18,0,4
2022,1,1820502,Financial Services,MA,58,20,0,2
2024,0,1232651,Manufacturing,MA,74,19,0,4
2016,0,799865,Manufacturing,TX,349,54,0,2
2024,0,1984745,Financial Services,NC,68,32,0,3
2015,0,308068,General Commercial,CA,46,29,0,NA
2016,0,865997,Manufacturing,CA,95,28,0,NA
2014,0,1941986,Oil/Gas,FL,378,60,0,2
2016,1,815909,Manufacturing,GA,118,60,0,5
2017,0,3411438,General Commercial,IL,651,28,1,NA
2019,0,413959,Financial Services,MI,77,26,0,3
2018,0,1135453,General Commercial,GA,137,37,0,NA
2022,0,2882514,Financial Services,FL,453,16,1,NA
2016,0,3554462,Manufacturing,FL,193,34,1,2
2021,0,635667,Financial Services,MA,213,30,0,3
2022,0,392655,General Commercial,TX,17,24,0,1
2020,0,357075,General Commercial,GA,70,22,0,3
2016,0,489695,General Commercial,TX,51,23,0,NA
2021,0,297377,General Commercial,GA,18,30,0,NA
2018,0,495066,Financial Services,OH,35,17,0,NA
2017,0,230062,General Commercial,NJ,50,16,0,3
2019,0,730836,Financial Services,TX,262,84,0,4
2020,0,582006,Manufacturing,GA,56,25,0,NA
2022,0,216635,General Commercial,TX,44,17,0,NA
2020,2,1331929,General Commercial,MI,257,54,0,1
2021,1,1636346,Manufacturing,GA,300,30,0,2
2021,0,746981,General Commercial,MI,251,16,0,NA
2016,0,2864232,General Commercial,WA,294,54,1,2
2014,0,2118252,Manufacturing,WA,92,37,0,NA
2018,0,2836478,Manufacturing,FL,454,27,1,NA
2018,0,220771,General Commercial,TX,41,16,0,1
2023,0,2048945,General Commercial,AZ,251,30,0,4
2016,0,984039,Financial Services,WA,257,16,0,NA
2015,0,1017696,General Commercial,NY,61,27,0,NA
2020,0,2348551,Manufacturing,AZ,141,16,0,4
2024,0,3756762,Manufacturing,FL,284,33,1,3
2022,0,562580,Manufacturing,FL,72,42,0,NA
2023,0,1201036,Manufacturing,IL,105,32,0,NA
2016,0,1013942,General Commercial,PA,152,28,0,NA
2013,0,384850,Financial Services,MI,19,18,0,NA
2017,1,3186416,Oil/Gas,CA,1048,16,1,NA
2018,0,1120136,General Commercial,CA,151,21,0,NA
2020,0,584186,Manufacturing,FL,19,30,0,NA
2021,0,1185494,Oil/Gas,FL,170,31,0,NA
2016,0,434771,General Commercial,GA,24,64,0,4
2018,0,310661,General Commercial,CA,56,16,0,5
2018,0,1076474,Manufacturing,IL,256,42,0,NA
2015,0,974892,Manufacturing,FL,59,28,0,3
2021,0,1983239,General Commercial,GA,403,87,0,2
2014,0,1575280,Manufacturing,IL,57,16,0,3
2024,0,1872642,Manufacturing,NY,69,20,0,2
2023,0,1015309,Financial Services,IL,115,16,0,NA
2022,0,1931271,Oil/Gas,CA,84,34,0,3
2017,0,210807,General Commercial,PA,10,24,0,5
2016,1,1215332,General Commercial,MA,195,31,0,NA
2017,0,629655,Financial Services,NC,134,16,0,NA
2016,1,2150287,General Commercial,MA,36,22,0,3
2019,0,482563,General Commercial,PA,41,38,0,NA
2020,0,1270530,General Commercial,VA,140,19,0,NA
2016,0,1077970,General Commercial,TX,90,21,0,2
2014,0,1254000,Manufacturing,FL,108,37,0,NA
2016,0,394565,General Commercial,NJ,53,49,0,NA
2022,0,501513,Oil/Gas,VA,5,22,0,NA
2020,0,640138,Financial Services,TX,47,55,0,4
2021,0,1285733,Financial Services,CA,211,30,0,NA
2020,0,3437804,General Commercial,IL,309,32,1,NA
2016,1,1676652,Oil/Gas,NC,112,24,0,4
2021,0,1058933,Oil/Gas,OH,26,16,0,4
2017,0,527354,General Commercial,CA,72,35,0,NA
2017,0,533098,Manufacturing,FL,19,28,0,3
2014,0,1099473,Financial Services,AZ,144,36,0,2
2021,1,2850618,Oil/Gas,FL,237,16,1,NA
2015,1,931006,Manufacturing,MA,306,16,0,NA
2022,0,639796,Manufacturing,TX,94,36,0,4
2019,0,754066,Manufacturing,OH,154,23,0,3
2014,0,406789,Financial Services,CA,87,21,0,3
2019,0,616552,General Commercial,CA,115,37,0,4
2013,0,510368,Manufacturing,GA,71,16,0,NA
2019,0,1173599,Manufacturing,IL,140,35,0,NA
2015,0,578688,Oil/Gas,FL,74,31,0,NA
2020,0,2282046,Manufacturing,NY,197,24,0,NA
2020,0,1582081,Financial Services,OH,251,16,0,2
2022,0,430535,Manufacturing,IL,99,31,0,NA
2018,0,523122,General Commercial,TX,61,38,0,4
2017,0,437777,General Commercial,WA,66,24,0,NA
2018,0,782610,Manufacturing,WA,70,32,0,3
2023,0,1290522,Manufacturing,WA,71,19,0,4
2014,0,353947,General Commercial,AZ,22,22,0,3
2014,1,1947271,General Commercial,NY,822,21,0,3
2015,0,1345892,General Commercial,PA,95,40,0,3
2021,1,716652,Manufacturing,MI,88,36,0,NA
2019,0,1070263,Manufacturing,CA,122,16,0,NA
2018,0,3032382,Financial Services,TX,105,39,1,NA
2017,0,2448709,General Commercial,NY,733,30,0,5
2020,0,3809409,Oil/Gas,CA,133,25,1,4
2019,0,944460,Manufacturing,CA,81,35,0,4
2016,0,3147298,General Commercial,NY,319,16,1,NA
2017,0,4189300,General Commercial,FL,1644,34,1,3
2024,0,3127926,Manufacturing,CA,99,16,1,NA
2016,0,4688860,General Commercial,TX,512,30,1,NA
2019,0,2242074,Financial Services,NJ,283,24,0,NA
2023,0,2240330,Oil/Gas,CA,221,24,0,NA
2020,0,846039,General Commercial,FL,144,53,0,NA
2013,0,1363310,General Commercial,MI,61,35,0,NA
2021,0,1092185,Manufacturing,VA,69,31,0,NA
2016,0,176184,Manufacturing,FL,7,65,0,2
2017,0,1925394,Financial Services,WA,215,33,0,1
2013,0,610614,General Commercial,FL,82,26,0,2
2019,0,669297,General Commercial,PA,57,43,0,3
2018,1,2043487,General Commercial,MI,493,16,0,3
2017,0,435872,Oil/Gas,OH,40,41,0,NA
2019,0,306873,General Commercial,VA,10,20,0,3
2020,0,372932,Manufacturing,NJ,15,26,0,3
2023,0,2704393,Manufacturing,CA,353,38,1,NA
2021,0,350125,Manufacturing,TX,54,18,0,2
2023,0,739317,Manufacturing,IL,87,17,0,3
2017,0,1016652,General Commercial,PA,65,16,0,3
2021,0,411123,Manufacturing,CA,120,46,0,1
2018,0,1015886,Financial Services,TX,81,90,0,3
2018,0,461717,General Commercial,OH,24,23,0,NA
2015,0,721884,General Commercial,NC,89,16,0,2
2024,0,1027183,General Commercial,PA,109,29,0,NA
2019,0,1075325,Manufacturing,CA,85,16,0,2
2014,0,1335366,Oil/Gas,FL,48,34,0,NA
2015,0,384185,Manufacturing,IL,24,30,0,3
2020,0,629424,Manufacturing,GA,19,16,0,3
2019,0,169582,Financial Services,IL,40,26,0,3
2020,0,886765,General Commercial,NC,328,32,0,NA
2015,0,978883,General Commercial,TX,112,23,0,NA
2023,0,2119866,Manufacturing,CA,346,27,0,4
2014,0,2745731,Manufacturing,CA,199,16,1,2
2014,1,5927090,Oil/Gas,FL,1166,16,1,2
2024,0,2520765,General Commercial,CA,232,52,1,5
2022,0,1656998,General Commercial,CA,126,25,0,3
2020,0,1399419,General Commercial,NC,155,26,0,2
2023,0,1163483,General Commercial,NC,155,22,0,NA
2014,0,279508,General Commercial,TX,10,27,0,2
2015,1,431220,General Commercial,GA,55,41,0,NA
2016,0,314485,Financial Services,TX,43,16,0,NA
2020,0,553104,Manufacturing,MI,146,37,0,NA
2016,0,2525212,General Commercial,NY,607,34,1,2
2024,0,299737,Manufacturing,FL,6,39,0,NA
2013,0,899759,Oil/Gas,NY,91,79,0,NA
2017,0,635593,General Commercial,CA,111,34,0,4
2017,0,2119924,Financial Services,TX,448,16,0,NA
2019,1,1103703,Financial Services,MI,135,23,0,3
2014,0,1435592,General Commercial,FL,39,16,0,2
2016,0,463464,Manufacturing,MA,142,18,0,NA
2024,0,1731522,General Commercial,MA,206,19,0,5
2014,0,2498989,General Commercial,NC,571,18,0,NA
2013,1,1501454,Manufacturing,PA,142,16,0,1
2014,0,1406169,General Commercial,NJ,187,20,0,3
2023,0,454617,Manufacturing,NJ,35,16,0,NA
2020,0,448954,Manufacturing,CA,49,17,0,NA
2018,0,369523,Manufacturing,VA,23,18,0,NA
2018,1,1844879,Manufacturing,PA,277,36,0,2
2015,0,2555022,General Commercial,CA,281,30,1,3
2018,0,748122,General Commercial,CA,84,35,0,3
2018,0,1313626,General Commercial,CA,59,39,0,3
2020,0,1500383,General Commercial,FL,45,17,0,3
2019,0,426703,General Commercial,TX,25,42,0,2
2022,0,1567082,Manufacturing,FL,291,19,0,2
2019,0,3257120,Manufacturing,NC,447,20,1,3
2022,0,541220,General Commercial,OH,30,16,0,NA
2020,1,381015,General Commercial,MI,16,16,0,4
2014,0,1679718,Manufacturing,TX,158,36,0,4
2024,0,2061420,Manufacturing,NJ,178,55,0,2
2018,0,561433,Manufacturing,FL,42,73,0,NA
2024,0,5501486,Manufacturing,CA,849,60,1,4
2023,0,1396273,Oil/Gas,MA,150,22,0,NA
2021,0,385028,General Commercial,WA,76,50,0,NA
2024,0,2287004,General Commercial,NY,254,16,0,NA
2013,1,4432380,Manufacturing,CA,936,16,1,1
2022,0,551582,Financial Services,NY,63,23,0,NA
2017,1,1102901,Manufacturing,CA,337,28,0,2
2017,0,250024,Financial Services,MI,30,26,0,NA
2018,0,593430,General Commercial,NC,113,19,0,NA
2018,0,391573,General Commercial,FL,56,22,0,2
2017,0,512423,Manufacturing,FL,21,44,0,NA
2020,0,549842,Financial Services,IL,87,20,0,NA
2014,0,351596,General Commercial,MA,105,25,0,NA
2018,0,666468,Manufacturing,NY,84,45,0,NA
2014,0,380259,General Commercial,PA,141,32,0,3
2023,0,553071,General Commercial,FL,54,23,0,2
2019,0,2905861,General Commercial,NY,237,23,1,NA
2019,0,576361,Manufacturing,NY,94,35,0,NA
2018,0,2366958,General Commercial,TX,99,25,0,1
2016,0,766001,General Commercial,TX,17,24,0,1
2014,0,552218,Oil/Gas,NC,72,42,0,3
2019,0,2508591,Manufacturing,WA,146,63,1,2
2015,0,1455393,General Commercial,NY,79,36,0,3
2023,0,1518578,Manufacturing,NJ,182,39,0,NA
2022,0,2671601,Manufacturing,CA,116,26,1,NA
2013,0,2481871,General Commercial,FL,610,16,0,NA
2018,0,2839550,Financial Services,NC,327,27,1,NA
2024,0,267871,Financial Services,IL,6,29,0,3
2024,0,683536,Manufacturing,CA,36,31,0,2
2015,0,625823,General Commercial,VA,130,21,0,NA
2019,1,2784629,General Commercial,CA,754,23,1,NA
2019,0,648527,General Commercial,IL,84,36,0,2
2018,0,340569,Manufacturing,FL,38,25,0,NA
2015,0,1709472,General Commercial,NY,81,19,0,2
2018,0,939540,General Commercial,IL,45,50,0,3
2018,0,390205,Financial Services,CA,47,49,0,3
2014,0,943251,Financial Services,CA,113,24,0,NA
2019,0,916417,General Commercial,MI,48,19,0,NA
2020,0,2001336,Manufacturing,MI,214,52,0,2
2024,0,1141387,Manufacturing,NC,168,18,0,NA
2014,0,2026598,Financial Services,CA,317,31,0,1
2016,0,558438,Manufacturing,TX,44,84,0,4
2022,0,4749309,Manufacturing,AZ,237,39,1,3
2019,0,1068953,Manufacturing,MA,134,43,0,3
2016,0,1477198,General Commercial,NY,51,33,0,2
2023,0,144842,General Commercial,CA,16,22,0,1
2021,0,794110,General Commercial,TX,97,16,0,4
2013,0,1092542,Manufacturing,TX,74,34,0,NA
2015,0,905773,General Commercial,TX,100,28,0,2
2017,0,1876151,General Commercial,CA,318,57,0,2
2016,2,1972281,General Commercial,PA,69,35,0,3
2016,0,1607340,Manufacturing,OH,170,38,0,NA
2021,1,3837335,General Commercial,FL,384,56,1,3
2014,0,453606,Oil/Gas,TX,19,29,0,NA
2013,0,701317,General Commercial,CA,83,24,0,NA
2019,1,6995423,General Commercial,TX,802,16,1,NA
2017,0,1154014,General Commercial,OH,83,26,0,NA
2023,0,528646,General Commercial,PA,51,29,0,NA
2023,0,526175,General Commercial,TX,112,38,0,3
2023,0,1350679,Manufacturing,TX,62,105,0,2
2014,0,688020,Manufacturing,AZ,49,17,0,2
2023,0,398602,Financial Services,NY,59,16,0,NA
2022,0,1141161,Financial Services,NJ,333,30,0,NA
2023,0,870691,General Commercial,MI,59,41,0,2
2018,0,382089,Oil/Gas,CA,25,39,0,2
2014,0,918679,Financial Services,PA,88,29,0,NA
2017,0,1092477,General Commercial,CA,246,25,0,3
2019,0,709753,Manufacturing,PA,36,30,0,2
2023,0,294938,Financial Services,MI,53,31,0,NA
2024,0,737106,Manufacturing,VA,38,23,0,3
2013,0,869709,General Commercial,NJ,270,16,0,4
2022,0,632269,Manufacturing,MI,167,18,0,5
2021,0,1948237,Manufacturing,PA,401,50,0,3
2016,0,656838,General Commercial,NJ,154,40,0,NA
2016,0,824695,Manufacturing,NJ,68,19,0,2
2014,0,852073,General Commercial,NY,68,30,0,4
2015,0,242642,Oil/Gas,TX,119,53,0,NA
2019,0,1063215,General Commercial,PA,186,16,0,3
2017,0,1050223,General Commercial,OH,134,28,0,3
2017,1,1339543,General Commercial,MA,73,17,0,NA
2018,1,1041368,General Commercial,TX,44,16,0,3
2013,1,1719462,General Commercial,PA,64,34,0,NA
2018,1,5517699,General Commercial,CA,239,22,1,3
2023,0,815227,General Commercial,WA,45,22,0,3
2015,0,1706942,General Commercial,MA,106,20,0,NA
2023,0,554157,Financial Services,WA,38,17,0,NA
2016,0,1179493,Manufacturing,MI,43,36,0,3
2024,0,2717442,General Commercial,NJ,237,31,1,NA
2022,0,1166154,General Commercial,GA,135,23,0,2
2013,0,276595,Manufacturing,PA,87,44,0,4
2019,0,1214161,Manufacturing,TX,168,16,0,3
2023,0,1669791,Oil/Gas,CA,217,30,0,2
2021,0,945025,General Commercial,MI,202,38,0,NA
2016,3,3543412,Manufacturing,CA,730,29,1,NA
2023,0,882859,Manufacturing,PA,16,43,0,NA
2019,1,1730726,Manufacturing,FL,111,16,0,4
2021,0,245159,General Commercial,NY,18,37,0,NA
2015,0,614222,General Commercial,WA,82,21,0,NA
2021,1,1008057,General Commercial,GA,159,36,0,5
2022,1,2929740,General Commercial,CA,202,16,1,3
2013,0,698318,General Commercial,TX,50,16,0,NA
2020,0,2165686,General Commercial,NY,466,18,0,NA
2019,0,1244124,Manufacturing,TX,119,31,0,NA
2013,0,326115,General Commercial,GA,35,22,0,NA
2019,0,483953,Financial Services,NJ,32,22,0,NA
2013,0,1480774,Manufacturing,FL,163,45,0,2
2022,0,1333591,Manufacturing,FL,122,33,0,NA
2021,0,1014787,Manufacturing,NY,106,16,0,NA
2018,0,2169866,Manufacturing,TX,164,31,0,3
2014,2,1344500,Manufacturing,CA,85,22,0,5
2017,0,950107,Manufacturing,VA,43,25,0,2
2021,0,964637,General Commercial,IL,84,26,0,NA
2020,1,2116486,Manufacturing,OH,290,22,0,1
2015,0,635887,General Commercial,OH,127,34,0,2
2022,0,5863860,General Commercial,CA,317,35,1,4
2024,0,407857,Manufacturing,OH,36,33,0,2
2016,0,1171194,General Commercial,CA,134,33,0,4
2020,1,1490669,General Commercial,MA,115,16,0,3
2024,0,637914,Manufacturing,GA,44,41,0,NA
2023,0,451043,General Commercial,NY,41,16,0,NA
2020,2,1137933,Financial Services,CA,180,47,0,1
2013,0,2467718,Manufacturing,TX,273,18,0,4
2020,0,242149,Financial Services,NC,63,62,0,3
2021,0,311198,General Commercial,FL,40,41,0,1
2015,0,655629,Manufacturing,CA,56,16,0,2
2017,0,2038638,General Commercial,TX,272,25,0,NA
2015,0,640644,General Commercial,MI,225,18,0,4
2015,0,956305,General Commercial,VA,29,37,0,1
2016,0,567339,Oil/Gas,GA,15,33,0,2
2017,0,342016,Manufacturing,CA,35,29,0,NA
2017,0,1235377,General Commercial,NY,111,32,0,NA
2021,0,654210,General Commercial,MA,27,28,0,NA
2013,0,1274970,Manufacturing,WA,92,22,0,NA
2023,0,1262455,General Commercial,CA,62,32,0,5
2021,0,3650078,General Commercial,OH,947,16,1,NA
2019,0,775890,General Commercial,NY,148,20,0,NA
2016,0,2329104,Manufacturing,MI,160,50,0,NA
2016,0,1176239,General Commercial,NY,21,27,0,2
2019,0,2745022,General Commercial,NY,573,32,1,3
2014,1,1162190,Financial Services,CA,120,25,0,NA
2022,0,1273878,Financial Services,CA,99,16,0,4
2023,0,267450,General Commercial,NC,96,39,0,NA
2017,0,1511565,Manufacturing,TX,344,19,0,3
2021,1,1584591,Financial Services,TX,273,16,0,2
2017,1,1854382,General Commercial,CA,230,35,0,NA
2023,0,1202383,General Commercial,FL,84,19,0,NA
2020,0,232070,General Commercial,NY,14,18,0,2
